|--------------------|-------|
|English Word         | Count |
|--------------------|-------|
|the                 |  26186|
|--------------------|-------|
|of                  |  13242|
|--------------------|-------|
|and                 |   9870|
|--------------------|-------|
|in                  |   8875|
|--------------------|-------|
|to                  |   7952|
|--------------------|-------|
|a                   |   7300|
|--------------------|-------|
|is                  |   3840|
|--------------------|-------|
|as                  |   3418|
|--------------------|-------|
|was                 |   2952|
|--------------------|-------|
|that                |   2728|
|--------------------|-------|
|for                 |   2701|
|--------------------|-------|
|by                  |   2612|
|--------------------|-------|
|with                |   2262|
|--------------------|-------|
|on                  |   2168|
|--------------------|-------|
|are                 |   1931|
|--------------------|-------|
|from                |   1749|
|--------------------|-------|
|it                  |   1528|
|--------------------|-------|
|be                  |   1412|
|--------------------|-------|
|or                  |   1410|
|--------------------|-------|
|which               |   1404|
|--------------------|-------|
|this                |   1390|
|--------------------|-------|
|an                  |   1361|
|--------------------|-------|
|at                  |   1361|
|--------------------|-------|
|were                |   1282|
|--------------------|-------|
|his                 |   1277|
|--------------------|-------|
|he                  |   1102|
|--------------------|-------|
|have                |   1049|
|--------------------|-------|
|not                 |   1014|
|--------------------|-------|
|has                 |    951|
|--------------------|-------|
|also                |    935|
|--------------------|-------|
|had                 |    863|
|--------------------|-------|
|their               |    844|
|--------------------|-------|
|but                 |    832|
|--------------------|-------|
|one                 |    808|
|--------------------|-------|
|its                 |    797|
|--------------------|-------|
|other               |    776|
|--------------------|-------|
|been                |    733|
|--------------------|-------|
|first               |    705|
|--------------------|-------|
|they                |    698|
|--------------------|-------|
|some                |    663|
|--------------------|-------|
|such                |    643|
|--------------------|-------|
|more                |    642|
|--------------------|-------|
|most                |    641|
|--------------------|-------|
|two                 |    597|
|--------------------|-------|
|all                 |    589|
|--------------------|-------|
|new                 |    577|
|--------------------|-------|
|these               |    570|
|--------------------|-------|
|who                 |    554|
|--------------------|-------|
|after               |    539|
|--------------------|-------|
|into                |    538|
|--------------------|-------|
|can                 |    536|
|--------------------|-------|
|there               |    535|
|--------------------|-------|
|many                |    530|
|--------------------|-------|
|than                |    516|
|--------------------|-------|
|used                |    516|
|--------------------|-------|
|only                |    515|
|--------------------|-------|
|when                |    502|
|--------------------|-------|
|time                |    489|
|--------------------|-------|
|known               |    476|
|--------------------|-------|
|world               |    474|
|--------------------|-------|
|war                 |    467|
|--------------------|-------|
|between             |    462|
|--------------------|-------|
|would               |    460|
|--------------------|-------|
|during              |    432|
|--------------------|-------|
|may                 |    421|
|--------------------|-------|
|however             |    417|
|--------------------|-------|
|city                |    407|
|--------------------|-------|
|over                |    374|
